E,R,4,10,18,0,0,0,0,18,20,274,53,141,160,160,160,160,160,160,160,160,231,141,141,141,141,141,141,141,141,141,141,48,63,66,86,98,115,133,160,160,160,58,67,135,160,160,160,160,160,160,160,60,80,99,111,125,138,160,160,160,280
E,R,5,10,25,47,13,0,0,25,17,19,60,79,138,93,148,111,86,158,182,198,877,56,111,117,17,65,98,101,111,99,107,59,86,91,119,133,,,,,,,,,,,,,,,,,,,,,,,,,
E,C,2,10,72,90,68,3,11,72,18,444,171,62,196,211,213,261,270,279,292,308,376,390,423,440,71,107,200,277,312,363,368,371,395,399,579,952,963,291,310,370,434,220,260,277,347,300,369,392,184,338,342,230,283,313,362,370,,,,,
E,C,3,10,153,172,148,85,55,153,245,642,631,289,293,502,553,632,633,776,891,963,1685,1784,2044,364,411,429,435,439,551,633,643,1303,1492,1648,1809,1982,259,259,312,331,254,404,276,573,589,,,,,,,,,,,,,,,,
E,CR,2,10,84,71,63,36,24,84,137,331,132,88,140,247,264,184,277,196,317,335,351,373,386,441,509,582,617,274,283,300,300,310,321,329,359,420,435,488,814,144,247,422,164,187,190,190,202,228,203,212,,,,,,,,,,,
E,CR,6,10,15,8,3,2,3,15,7,19,59,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,24,34,141,3,3,3,4,4,4,4,4,4,4,4,4,4,4,21,25,44,76,164,4,4,4,4,4,7,4,4,4,4,,
C,R,2,10,26,25,29,14,0,26,37,104,62,73,76,87,91,91,106,114,114,131,145,146,160,108,173,219,253,260,263,319,1047,79,84,89,96,97,103,120,134,146,164,165,166,242,393,933,959,62,78,96,101,74,100,108,88,95,97,110,89,95,123
C,C,2,10,11,0,0,0,0,11,5,73,57,8,9,9,10,14,14,14,16,16,18,18,18,20,20,22,25,26,43,13,14,14,14,16,16,19,20,22,25,33,52,131,14,14,14,16,18,19,21,35,42,3,23,26,59,11,12,12,43,50,
C,C,3,10,16,19,31,28,14,16,21,100,39,70,79,79,98,103,112,112,114,117,81,123,133,147,120,125,189,757,58,68,72,93,95,100,106,111,112,116,117,119,121,125,135,138,140,153,58,82,69,83,89,95,71,83,85,101,87,96,154,169,173
C,CR,5,10,34,82,120,34,26,34,85,88,393,147,160,291,209,236,367,402,371,430,732,903,961,112,184,222,246,291,380,269,421,463,484,358,372,404,430,462,950,958,107,105,122,206,178,244,346,,,,,,,,,,,,,,
R,R,1,10,162,15,10,21,16,162,35,565,139,73,86,86,92,104,105,110,129,137,249,420,651,1158,86,93,98,98,101,109,114,123,124,125,125,147,194,247,1907,1942,1949,2009,80,83,137,121,384,63,91,117,134,248,91,95,97,128,229,382,,,
R,R,4,10,56,13,0,0,0,56,16,221,17,27,42,45,70,70,71,78,85,86,98,257,439,10,14,20,28,36,40,48,49,55,63,73,73,75,81,92,110,113,124,148,160,166,249,650,988,94,97,98,260,25,39,46,79,94,105,89,96,,
R,C,0,10,3,3,3,0,0,3,3,228,8,23,53,56,78,84,108,120,143,171,191,133,897,10,16,34,45,48,55,57,60,63,67,67,80,89,93,94,95,102,111,113,133,136,168,871,954,16,21,100,93,72,100,108,18,31,63,82,145,,
R,C,2,10,3,0,0,0,0,3,15,8,5,5,5,5,5,6,6,6,6,10,10,15,21,52,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,8,11,11,14,116,5,5,6,6,8,6,7,8,6,6,7,11,11,14
R,C,3,10,3,5,5,5,3,3,25,30,36,5,7,7,8,8,8,12,16,25,6,6,6,7,7,8,8,8,8,8,8,8,10,11,11,13,16,18,18,19,20,20,21,22,27,27,29,31,43,7,7,8,10,6,13,14,16,30,15,17,18
R,C,4,10,34,9,9,2,2,34,38,55,48,24,31,48,56,61,72,26,29,29,36,36,37,38,41,44,53,55,60,61,63,66,67,69,72,80,80,81,84,99,100,116,129,569,28,34,36,40,41,48,50,41,57,63,67,39,62,64,65,86,90
R,CR,5,10,44,85,81,110,36,44,134,141,153,94,100,151,214,179,214,224,227,233,244,248,260,269,293,300,309,229,345,241,363,365,247,268,304,361,363,582,594,932,972,973,975,73,96,175,204,156,162,172,185,244,268,342,112,159,109,117,168,188,194
E,R,2,11,264,877,714,422,157,264,814,36140,34242,182,874,973,976,1079,1121,1130,1192,1211,1233,1248,1295,1355,1355,1370,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,R,4,11,252,63,135,23,16,252,29,378,298,316,327,535,227,238,265,272,296,314,317,320,330,334,338,368,374,391,441,501,509,557,573,610,612,650,532,863,1739,1814,1823,1858,217,277,329,392,252,306,282,294,302,,,,,,,,,,
E,C,1,11,164,67,181,19,19,164,169,338,313,171,271,288,88,169,197,212,218,225,251,277,278,280,295,317,255,256,479,384,1056,1119,1227,1365,1505,1806,1827,1902,2002,200,276,295,148,180,186,241,320,810,176,190,272,333,,,,,,,,,
E,C,2,11,31,0,0,14,10,31,53,257,138,96,197,207,71,74,88,117,118,137,139,147,158,167,169,170,172,175,186,190,195,197,198,201,204,207,216,218,234,238,243,248,248,264,347,158,209,108,162,179,189,112,106,124,,,,,,,
E,C,3,11,100,56,155,49,25,100,660,294,292,378,507,279,356,358,364,461,466,487,526,440,706,792,532,875,620,674,730,782,814,848,1010,1055,1082,1088,1179,1193,1499,1714,1724,489,309,632,318,,,,,,,,,,,,,,,,
E,C,4,11,89,280,123,44,21,89,115,633,508,441,337,349,461,518,600,637,461,756,552,565,567,618,635,662,668,672,746,763,791,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,CR,0,11,94,100,63,66,54,94,47,691,294,110,306,204,323,354,364,368,247,392,461,596,461,464,708,514,539,554,618,674,696,699,712,776,780,809,818,928,934,944,952,982,91,94,121,137,184,382,399,103,114,,,,,,,,,,
E,CR,4,11,203,683,334,181,50,203,365,3785,2650,866,1016,1089,1128,1155,1160,1221,1283,1297,1411,216,779,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
